backbone.levels.1.blocks.1.dcn.dw_conv.1.1.bias	torch.Size([640])
backbone.levels.1.blocks.1.dcn.offset.weight	torch.Size([360, 640])
backbone.levels.1.blocks.1.dcn.mask.weight	torch.Size([180, 640])
backbone.levels.1.blocks.1.dcn.mask.bias	torch.Size([180])
backbone.levels.1.blocks.1.dcn.input_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.1.dcn.input_proj.bias	torch.Size([640])
backbone.levels.1.blocks.1.dcn.output_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.1.dcn.output_proj.bias	torch.Size([640])
backbone.levels.1.blocks.1.norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.1.norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.1.mlp.fc1.weight	torch.Size([2560, 640])
backbone.levels.1.blocks.1.mlp.fc1.bias	torch.Size([2560])
backbone.levels.1.blocks.1.mlp.fc2.weight	torch.Size([640, 2560])
backbone.levels.1.blocks.1.mlp.fc2.bias	torch.Size([640])
backbone.levels.1.blocks.1.res_post_norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.1.res_post_norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.1.res_post_norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.1.res_post_norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.2.norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.2.norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.2.dcn.offset.bias	torch.Size([360])
backbone.levels.1.blocks.2.dcn.center_feature_scale_proj_weight	torch.Size([20, 640])
backbone.levels.1.blocks.2.dcn.center_feature_scale_proj_bias	torch.Size([20])
backbone.levels.1.blocks.2.dcn.dw_conv.0.weight	torch.Size([640, 1, 5, 5])
backbone.levels.1.blocks.2.dcn.dw_conv.0.bias	torch.Size([640])
backbone.levels.1.blocks.2.dcn.dw_conv.1.1.weight	torch.Size([640])
backbone.levels.1.blocks.2.dcn.dw_conv.1.1.bias	torch.Size([640])
backbone.levels.1.blocks.2.dcn.offset.weight	torch.Size([360, 640])
backbone.levels.1.blocks.2.dcn.mask.weight	torch.Size([180, 640])
backbone.levels.1.blocks.2.dcn.mask.bias	torch.Size([180])
backbone.levels.1.blocks.2.dcn.input_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.2.dcn.input_proj.bias	torch.Size([640])
backbone.levels.1.blocks.2.dcn.output_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.2.dcn.output_proj.bias	torch.Size([640])
backbone.levels.1.blocks.2.norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.2.norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.2.mlp.fc1.weight	torch.Size([2560, 640])
backbone.levels.1.blocks.2.mlp.fc1.bias	torch.Size([2560])
backbone.levels.1.blocks.2.mlp.fc2.weight	torch.Size([640, 2560])
backbone.levels.1.blocks.2.mlp.fc2.bias	torch.Size([640])
backbone.levels.1.blocks.2.res_post_norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.2.res_post_norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.2.res_post_norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.2.res_post_norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.3.norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.3.norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.3.dcn.offset.bias	torch.Size([360])
backbone.levels.1.blocks.3.dcn.center_feature_scale_proj_weight	torch.Size([20, 640])
backbone.levels.1.blocks.3.dcn.center_feature_scale_proj_bias	torch.Size([20])
backbone.levels.1.blocks.3.dcn.dw_conv.0.weight	torch.Size([640, 1, 5, 5])
backbone.levels.1.blocks.3.dcn.dw_conv.0.bias	torch.Size([640])
backbone.levels.1.blocks.3.dcn.dw_conv.1.1.weight	torch.Size([640])
backbone.levels.1.blocks.3.dcn.dw_conv.1.1.bias	torch.Size([640])
backbone.levels.1.blocks.3.dcn.offset.weight	torch.Size([360, 640])
backbone.levels.1.blocks.3.dcn.mask.weight	torch.Size([180, 640])
backbone.levels.1.blocks.3.dcn.mask.bias	torch.Size([180])
backbone.levels.1.blocks.3.dcn.input_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.3.dcn.input_proj.bias	torch.Size([640])
backbone.levels.1.blocks.3.dcn.output_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.3.dcn.output_proj.bias	torch.Size([640])
backbone.levels.1.blocks.3.norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.3.norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.3.mlp.fc1.weight	torch.Size([2560, 640])
backbone.levels.1.blocks.3.mlp.fc1.bias	torch.Size([2560])
backbone.levels.1.blocks.3.mlp.fc2.weight	torch.Size([640, 2560])
backbone.levels.1.blocks.3.mlp.fc2.bias	torch.Size([640])
backbone.levels.1.blocks.3.res_post_norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.3.res_post_norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.3.res_post_norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.3.res_post_norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.4.norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.4.norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.4.dcn.offset.bias	torch.Size([360])
backbone.levels.1.blocks.4.dcn.center_feature_scale_proj_weight	torch.Size([20, 640])
backbone.levels.1.blocks.4.dcn.center_feature_scale_proj_bias	torch.Size([20])
backbone.levels.1.blocks.4.dcn.dw_conv.0.weight	torch.Size([640, 1, 5, 5])
backbone.levels.1.blocks.4.dcn.dw_conv.0.bias	torch.Size([640])
backbone.levels.1.blocks.4.dcn.dw_conv.1.1.weight	torch.Size([640])
backbone.levels.1.blocks.4.dcn.dw_conv.1.1.bias	torch.Size([640])
backbone.levels.1.blocks.4.dcn.offset.weight	torch.Size([360, 640])
backbone.levels.1.blocks.4.dcn.mask.weight	torch.Size([180, 640])
backbone.levels.1.blocks.4.dcn.mask.bias	torch.Size([180])
backbone.levels.1.blocks.4.dcn.input_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.4.dcn.input_proj.bias	torch.Size([640])
backbone.levels.1.blocks.4.dcn.output_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.4.dcn.output_proj.bias	torch.Size([640])
backbone.levels.1.blocks.4.norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.4.norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.4.mlp.fc1.weight	torch.Size([2560, 640])
backbone.levels.1.blocks.4.mlp.fc1.bias	torch.Size([2560])
backbone.levels.1.blocks.4.mlp.fc2.weight	torch.Size([640, 2560])
backbone.levels.1.blocks.4.mlp.fc2.bias	torch.Size([640])
backbone.levels.1.blocks.4.res_post_norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.4.res_post_norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.4.res_post_norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.4.res_post_norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.5.norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.5.norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.5.dcn.offset.bias	torch.Size([360])
backbone.levels.1.blocks.5.dcn.center_feature_scale_proj_weight	torch.Size([20, 640])
backbone.levels.1.blocks.5.dcn.center_feature_scale_proj_bias	torch.Size([20])
backbone.levels.1.blocks.5.dcn.dw_conv.0.weight	torch.Size([640, 1, 5, 5])
backbone.levels.1.blocks.5.dcn.dw_conv.0.bias	torch.Size([640])
backbone.levels.1.blocks.5.dcn.dw_conv.1.1.weight	torch.Size([640])
backbone.levels.1.blocks.5.dcn.dw_conv.1.1.bias	torch.Size([640])
backbone.levels.1.blocks.5.dcn.offset.weight	torch.Size([360, 640])
backbone.levels.1.blocks.5.dcn.mask.weight	torch.Size([180, 640])
backbone.levels.1.blocks.5.dcn.mask.bias	torch.Size([180])
backbone.levels.1.blocks.5.dcn.input_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.5.dcn.input_proj.bias	torch.Size([640])
backbone.levels.1.blocks.5.dcn.output_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.5.dcn.output_proj.bias	torch.Size([640])
backbone.levels.1.blocks.5.norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.5.norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.5.mlp.fc1.weight	torch.Size([2560, 640])
backbone.levels.1.blocks.5.mlp.fc1.bias	torch.Size([2560])
backbone.levels.1.blocks.5.mlp.fc2.weight	torch.Size([640, 2560])
backbone.levels.1.blocks.5.mlp.fc2.bias	torch.Size([640])
backbone.levels.1.blocks.5.res_post_norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.5.res_post_norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.5.res_post_norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.5.res_post_norm2.0.bias	torch.Size([640])
backbone.levels.1.norm.0.weight	torch.Size([640])
backbone.levels.1.norm.0.bias	torch.Size([640])
backbone.levels.1.downsample.conv.weight	torch.Size([1280, 640, 3, 3])
backbone.levels.1.downsample.norm.1.weight	torch.Size([1280])
backbone.levels.1.downsample.norm.1.bias	torch.Size([1280])
backbone.levels.2.blocks.0.norm1.0.weight	torch.Size([1280])
backbone.levels.2.blocks.0.norm1.0.bias	torch.Size([1280])
backbone.levels.2.blocks.0.dcn.offset.bias	torch.Size([720])
backbone.levels.2.blocks.0.dcn.center_feature_scale_proj_weight	torch.Size([40, 1280])
backbone.levels.2.blocks.0.dcn.center_feature_scale_proj_bias	torch.Size([40])
backbone.levels.2.blocks.0.dcn.dw_conv.0.weight	torch.Size([1280, 1, 5, 5])
backbone.levels.2.blocks.0.dcn.dw_conv.0.bias	torch.Size([1280])
backbone.levels.2.blocks.0.dcn.dw_conv.1.1.weight	torch.Size([1280])
backbone.levels.2.blocks.0.dcn.dw_conv.1.1.bias	torch.Size([1280])
backbone.levels.2.blocks.0.dcn.offset.weight	torch.Size([720, 1280])
backbone.levels.2.blocks.0.dcn.mask.weight	torch.Size([360, 1280])
backbone.levels.2.blocks.0.dcn.mask.bias	torch.Size([360])
backbone.levels.2.blocks.0.dcn.input_proj.weight	torch.Size([1280, 1280])
backbone.levels.2.blocks.0.dcn.input_proj.bias	torch.Size([1280])
backbone.levels.2.blocks.0.dcn.output_proj.weight	torch.Size([1280, 1280])
backbone.levels.2.blocks.0.dcn.output_proj.bias	torch.Size([1280])
backbone.levels.2.blocks.0.norm2.0.weight	torch.Size([1280])
backbone.levels.2.blocks.0.norm2.0.bias	torch.Size([1280])
backbone.levels.2.blocks.0.mlp.fc1.weight	torch.Size([5120, 1280])
backbone.levels.2.blocks.0.mlp.fc1.bias	torch.Size([5120])
